Data;Unidade;Demanda_Prevista;Modelo
07/10/2025;ARAME;20;ExtraTrees
08/10/2025;ARAME;19;ExtraTrees
09/10/2025;ARAME;19;ExtraTrees
10/10/2025;ARAME;18;ExtraTrees
13/10/2025;ARAME;20;ExtraTrees
14/10/2025;ARAME;19;ExtraTrees
15/10/2025;ARAME;17;ExtraTrees
16/10/2025;ARAME;15;ExtraTrees
17/10/2025;ARAME;15;ExtraTrees
20/10/2025;ARAME;17;ExtraTrees
21/10/2025;ARAME;17;ExtraTrees
22/10/2025;ARAME;18;ExtraTrees
23/10/2025;ARAME;17;ExtraTrees
24/10/2025;ARAME;17;ExtraTrees
27/10/2025;ARAME;20;ExtraTrees
28/10/2025;ARAME;20;ExtraTrees
29/10/2025;ARAME;22;ExtraTrees
30/10/2025;ARAME;19;ExtraTrees
31/10/2025;ARAME;19;ExtraTrees
03/11/2025;ARAME;18;ExtraTrees
04/11/2025;ARAME;17;ExtraTrees
05/11/2025;ARAME;17;ExtraTrees
06/11/2025;ARAME;15;ExtraTrees
07/11/2025;ARAME;16;ExtraTrees
10/11/2025;ARAME;14;ExtraTrees
11/11/2025;ARAME;14;ExtraTrees
12/11/2025;ARAME;14;ExtraTrees
01/10/2025;BACABAL;149;RandomForest
02/10/2025;BACABAL;145;RandomForest
03/10/2025;BACABAL;137;RandomForest
06/10/2025;BACABAL;156;RandomForest
07/10/2025;BACABAL;156;RandomForest
08/10/2025;BACABAL;121;RandomForest
09/10/2025;BACABAL;126;RandomForest
10/10/2025;BACABAL;120;RandomForest
13/10/2025;BACABAL;143;RandomForest
14/10/2025;BACABAL;141;RandomForest
15/10/2025;BACABAL;121;RandomForest
16/10/2025;BACABAL;106;RandomForest
17/10/2025;BACABAL;101;RandomForest
20/10/2025;BACABAL;151;RandomForest
21/10/2025;BACABAL;146;RandomForest
22/10/2025;BACABAL;125;RandomForest
23/10/2025;BACABAL;125;RandomForest
24/10/2025;BACABAL;123;RandomForest
27/10/2025;BACABAL;145;RandomForest
28/10/2025;BACABAL;152;RandomForest
29/10/2025;BACABAL;136;RandomForest
30/10/2025;BACABAL;132;RandomForest
31/10/2025;BACABAL;128;RandomForest
03/11/2025;BACABAL;156;RandomForest
04/11/2025;BACABAL;162;RandomForest
05/11/2025;BACABAL;137;RandomForest
06/11/2025;BACABAL;133;RandomForest
07/11/2025;BACABAL;128;RandomForest
10/11/2025;BACABAL;149;RandomForest
11/11/2025;BACABAL;154;RandomForest
12/11/2025;BACABAL;133;RandomForest
01/10/2025;BALSAS;136;RandomForest
02/10/2025;BALSAS;131;RandomForest
03/10/2025;BALSAS;130;RandomForest
06/10/2025;BALSAS;155;RandomForest
07/10/2025;BALSAS;148;RandomForest
08/10/2025;BALSAS;136;RandomForest
09/10/2025;BALSAS;129;RandomForest
10/10/2025;BALSAS;130;RandomForest
13/10/2025;BALSAS;145;RandomForest
14/10/2025;BALSAS;137;RandomForest
15/10/2025;BALSAS;134;RandomForest
16/10/2025;BALSAS;129;RandomForest
17/10/2025;BALSAS;125;RandomForest
20/10/2025;BALSAS;153;RandomForest
21/10/2025;BALSAS;138;RandomForest
22/10/2025;BALSAS;132;RandomForest
23/10/2025;BALSAS;130;RandomForest
24/10/2025;BALSAS;125;RandomForest
27/10/2025;BALSAS;155;RandomForest
28/10/2025;BALSAS;139;RandomForest
29/10/2025;BALSAS;137;RandomForest
30/10/2025;BALSAS;138;RandomForest
31/10/2025;BALSAS;138;RandomForest
03/11/2025;BALSAS;138;RandomForest
04/11/2025;BALSAS;129;RandomForest
05/11/2025;BALSAS;123;RandomForest
06/11/2025;BALSAS;113;RandomForest
07/11/2025;BALSAS;114;RandomForest
10/11/2025;BALSAS;143;RandomForest
11/11/2025;BALSAS;129;RandomForest
12/11/2025;BALSAS;115;RandomForest
01/10/2025;BARRA DO CORDA;91;ExtraTrees
02/10/2025;BARRA DO CORDA;86;ExtraTrees
03/10/2025;BARRA DO CORDA;80;ExtraTrees
06/10/2025;BARRA DO CORDA;94;ExtraTrees
07/10/2025;BARRA DO CORDA;92;ExtraTrees
08/10/2025;BARRA DO CORDA;85;ExtraTrees
09/10/2025;BARRA DO CORDA;80;ExtraTrees
10/10/2025;BARRA DO CORDA;80;ExtraTrees
13/10/2025;BARRA DO CORDA;92;ExtraTrees
14/10/2025;BARRA DO CORDA;88;ExtraTrees
15/10/2025;BARRA DO CORDA;82;ExtraTrees
16/10/2025;BARRA DO CORDA;81;ExtraTrees
17/10/2025;BARRA DO CORDA;82;ExtraTrees
20/10/2025;BARRA DO CORDA;91;ExtraTrees
21/10/2025;BARRA DO CORDA;90;ExtraTrees
22/10/2025;BARRA DO CORDA;83;ExtraTrees
23/10/2025;BARRA DO CORDA;81;ExtraTrees
24/10/2025;BARRA DO CORDA;82;ExtraTrees
27/10/2025;BARRA DO CORDA;90;ExtraTrees
28/10/2025;BARRA DO CORDA;89;ExtraTrees
29/10/2025;BARRA DO CORDA;82;ExtraTrees
30/10/2025;BARRA DO CORDA;81;ExtraTrees
31/10/2025;BARRA DO CORDA;81;ExtraTrees
03/11/2025;BARRA DO CORDA;69;ExtraTrees
04/11/2025;BARRA DO CORDA;85;ExtraTrees
05/11/2025;BARRA DO CORDA;77;ExtraTrees
06/11/2025;BARRA DO CORDA;75;ExtraTrees
07/11/2025;BARRA DO CORDA;87;ExtraTrees
10/11/2025;BARRA DO CORDA;76;ExtraTrees
11/11/2025;BARRA DO CORDA;90;ExtraTrees
12/11/2025;BARRA DO CORDA;85;ExtraTrees
01/10/2025;BARREIRINHAS;105;ExtraTrees
02/10/2025;BARREIRINHAS;102;ExtraTrees
03/10/2025;BARREIRINHAS;104;ExtraTrees
06/10/2025;BARREIRINHAS;131;ExtraTrees
07/10/2025;BARREIRINHAS;111;ExtraTrees
08/10/2025;BARREIRINHAS;96;ExtraTrees
09/10/2025;BARREIRINHAS;93;ExtraTrees
10/10/2025;BARREIRINHAS;92;ExtraTrees
13/10/2025;BARREIRINHAS;118;ExtraTrees
14/10/2025;BARREIRINHAS;106;ExtraTrees
15/10/2025;BARREIRINHAS;88;ExtraTrees
16/10/2025;BARREIRINHAS;93;ExtraTrees
17/10/2025;BARREIRINHAS;94;ExtraTrees
20/10/2025;BARREIRINHAS;113;ExtraTrees
21/10/2025;BARREIRINHAS;108;ExtraTrees
22/10/2025;BARREIRINHAS;99;ExtraTrees
23/10/2025;BARREIRINHAS;93;ExtraTrees
24/10/2025;BARREIRINHAS;94;ExtraTrees
27/10/2025;BARREIRINHAS;117;ExtraTrees
28/10/2025;BARREIRINHAS;111;ExtraTrees
29/10/2025;BARREIRINHAS;101;ExtraTrees
30/10/2025;BARREIRINHAS;95;ExtraTrees
31/10/2025;BARREIRINHAS;99;ExtraTrees
03/11/2025;BARREIRINHAS;113;ExtraTrees
04/11/2025;BARREIRINHAS;110;ExtraTrees
05/11/2025;BARREIRINHAS;88;ExtraTrees
06/11/2025;BARREIRINHAS;95;ExtraTrees
07/11/2025;BARREIRINHAS;94;ExtraTrees
10/11/2025;BARREIRINHAS;108;ExtraTrees
11/11/2025;BARREIRINHAS;105;ExtraTrees
12/11/2025;BARREIRINHAS;99;ExtraTrees
01/10/2025;BOM JARDIM;37;ExtraTrees
02/10/2025;BOM JARDIM;35;ExtraTrees
03/10/2025;BOM JARDIM;33;ExtraTrees
06/10/2025;BOM JARDIM;42;ExtraTrees
07/10/2025;BOM JARDIM;38;ExtraTrees
08/10/2025;BOM JARDIM;30;ExtraTrees
09/10/2025;BOM JARDIM;31;ExtraTrees
10/10/2025;BOM JARDIM;28;ExtraTrees
13/10/2025;BOM JARDIM;39;ExtraTrees
14/10/2025;BOM JARDIM;32;ExtraTrees
15/10/2025;BOM JARDIM;29;ExtraTrees
16/10/2025;BOM JARDIM;29;ExtraTrees
17/10/2025;BOM JARDIM;25;ExtraTrees
20/10/2025;BOM JARDIM;35;ExtraTrees
21/10/2025;BOM JARDIM;33;ExtraTrees
22/10/2025;BOM JARDIM;30;ExtraTrees
23/10/2025;BOM JARDIM;32;ExtraTrees
24/10/2025;BOM JARDIM;26;ExtraTrees
27/10/2025;BOM JARDIM;31;ExtraTrees
28/10/2025;BOM JARDIM;37;ExtraTrees
29/10/2025;BOM JARDIM;33;ExtraTrees
30/10/2025;BOM JARDIM;34;ExtraTrees
31/10/2025;BOM JARDIM;30;ExtraTrees
03/11/2025;BOM JARDIM;42;ExtraTrees
04/11/2025;BOM JARDIM;39;ExtraTrees
05/11/2025;BOM JARDIM;31;ExtraTrees
06/11/2025;BOM JARDIM;31;ExtraTrees
07/11/2025;BOM JARDIM;31;ExtraTrees
10/11/2025;BOM JARDIM;38;ExtraTrees
11/11/2025;BOM JARDIM;28;ExtraTrees
12/11/2025;BOM JARDIM;29;ExtraTrees
01/10/2025;BREJO;21;RandomForest
02/10/2025;BREJO;16;RandomForest
03/10/2025;BREJO;15;RandomForest
06/10/2025;BREJO;24;RandomForest
07/10/2025;BREJO;18;RandomForest
08/10/2025;BREJO;16;RandomForest
09/10/2025;BREJO;13;RandomForest
10/10/2025;BREJO;15;RandomForest
13/10/2025;BREJO;25;RandomForest
14/10/2025;BREJO;20;RandomForest
15/10/2025;BREJO;16;RandomForest
16/10/2025;BREJO;13;RandomForest
17/10/2025;BREJO;13;RandomForest
20/10/2025;BREJO;21;RandomForest
21/10/2025;BREJO;18;RandomForest
22/10/2025;BREJO;18;RandomForest
23/10/2025;BREJO;16;RandomForest
24/10/2025;BREJO;15;RandomForest
27/10/2025;BREJO;25;RandomForest
28/10/2025;BREJO;21;RandomForest
29/10/2025;BREJO;21;RandomForest
30/10/2025;BREJO;19;RandomForest
31/10/2025;BREJO;19;RandomForest
03/11/2025;BREJO;26;RandomForest
04/11/2025;BREJO;21;RandomForest
05/11/2025;BREJO;19;RandomForest
06/11/2025;BREJO;16;RandomForest
07/11/2025;BREJO;16;RandomForest
10/11/2025;BREJO;21;RandomForest
11/11/2025;BREJO;19;RandomForest
12/11/2025;BREJO;19;RandomForest
01/10/2025;BURITI;14;RandomForest
02/10/2025;BURITI;14;RandomForest
03/10/2025;BURITI;14;RandomForest
06/10/2025;BURITI;13;RandomForest
07/10/2025;BURITI;10;RandomForest
08/10/2025;BURITI;12;RandomForest
09/10/2025;BURITI;12;RandomForest
10/10/2025;BURITI;11;RandomForest
13/10/2025;BURITI;14;RandomForest
14/10/2025;BURITI;14;RandomForest
15/10/2025;BURITI;13;RandomForest
16/10/2025;BURITI;12;RandomForest
17/10/2025;BURITI;12;RandomForest
20/10/2025;BURITI;15;RandomForest
21/10/2025;BURITI;13;RandomForest
22/10/2025;BURITI;12;RandomForest
23/10/2025;BURITI;12;RandomForest
24/10/2025;BURITI;13;RandomForest
27/10/2025;BURITI;15;RandomForest
28/10/2025;BURITI;13;RandomForest
29/10/2025;BURITI;12;RandomForest
30/10/2025;BURITI;12;RandomForest
31/10/2025;BURITI;12;RandomForest
03/11/2025;BURITI;15;RandomForest
04/11/2025;BURITI;13;RandomForest
05/11/2025;BURITI;13;RandomForest
06/11/2025;BURITI;12;RandomForest
07/11/2025;BURITI;13;RandomForest
10/11/2025;BURITI;15;RandomForest
11/11/2025;BURITI;12;RandomForest
12/11/2025;BURITI;12;RandomForest
01/10/2025;BURITI BRAVO;3;LightGBM
02/10/2025;BURITI BRAVO;2;LightGBM
03/10/2025;BURITI BRAVO;2;LightGBM
06/10/2025;BURITI BRAVO;3;LightGBM
07/10/2025;BURITI BRAVO;3;LightGBM
08/10/2025;BURITI BRAVO;2;LightGBM
09/10/2025;BURITI BRAVO;2;LightGBM
10/10/2025;BURITI BRAVO;2;LightGBM
13/10/2025;BURITI BRAVO;2;LightGBM
14/10/2025;BURITI BRAVO;2;LightGBM
15/10/2025;BURITI BRAVO;2;LightGBM
16/10/2025;BURITI BRAVO;2;LightGBM
17/10/2025;BURITI BRAVO;2;LightGBM
20/10/2025;BURITI BRAVO;2;LightGBM
21/10/2025;BURITI BRAVO;2;LightGBM
22/10/2025;BURITI BRAVO;2;LightGBM
23/10/2025;BURITI BRAVO;2;LightGBM
24/10/2025;BURITI BRAVO;2;LightGBM
27/10/2025;BURITI BRAVO;2;LightGBM
28/10/2025;BURITI BRAVO;2;LightGBM
29/10/2025;BURITI BRAVO;2;LightGBM
30/10/2025;BURITI BRAVO;2;LightGBM
31/10/2025;BURITI BRAVO;2;LightGBM
03/11/2025;BURITI BRAVO;2;LightGBM
04/11/2025;BURITI BRAVO;2;LightGBM
05/11/2025;BURITI BRAVO;2;LightGBM
06/11/2025;BURITI BRAVO;2;LightGBM
07/11/2025;BURITI BRAVO;2;LightGBM
10/11/2025;BURITI BRAVO;2;LightGBM
11/11/2025;BURITI BRAVO;2;LightGBM
12/11/2025;BURITI BRAVO;2;LightGBM
01/10/2025;BURITICUPU;41;GradientBoosting
02/10/2025;BURITICUPU;52;GradientBoosting
03/10/2025;BURITICUPU;50;GradientBoosting
06/10/2025;BURITICUPU;73;GradientBoosting
07/10/2025;BURITICUPU;68;GradientBoosting
08/10/2025;BURITICUPU;59;GradientBoosting
09/10/2025;BURITICUPU;59;GradientBoosting
10/10/2025;BURITICUPU;59;GradientBoosting
13/10/2025;BURITICUPU;61;GradientBoosting
14/10/2025;BURITICUPU;54;GradientBoosting
15/10/2025;BURITICUPU;50;GradientBoosting
16/10/2025;BURITICUPU;50;GradientBoosting
17/10/2025;BURITICUPU;50;GradientBoosting
20/10/2025;BURITICUPU;61;GradientBoosting
21/10/2025;BURITICUPU;53;GradientBoosting
22/10/2025;BURITICUPU;50;GradientBoosting
23/10/2025;BURITICUPU;53;GradientBoosting
24/10/2025;BURITICUPU;53;GradientBoosting
27/10/2025;BURITICUPU;62;GradientBoosting
28/10/2025;BURITICUPU;53;GradientBoosting
29/10/2025;BURITICUPU;52;GradientBoosting
30/10/2025;BURITICUPU;52;GradientBoosting
31/10/2025;BURITICUPU;54;GradientBoosting
03/11/2025;BURITICUPU;62;GradientBoosting
04/11/2025;BURITICUPU;42;GradientBoosting
05/11/2025;BURITICUPU;45;GradientBoosting
06/11/2025;BURITICUPU;42;GradientBoosting
07/11/2025;BURITICUPU;47;GradientBoosting
10/11/2025;BURITICUPU;60;GradientBoosting
11/11/2025;BURITICUPU;52;GradientBoosting
12/11/2025;BURITICUPU;45;GradientBoosting
01/10/2025;CAROLINA;19;ExtraTrees
02/10/2025;CAROLINA;24;ExtraTrees
03/10/2025;CAROLINA;25;ExtraTrees
06/10/2025;CAROLINA;26;ExtraTrees
07/10/2025;CAROLINA;24;ExtraTrees
08/10/2025;CAROLINA;25;ExtraTrees
09/10/2025;CAROLINA;26;ExtraTrees
10/10/2025;CAROLINA;25;ExtraTrees
13/10/2025;CAROLINA;36;ExtraTrees
14/10/2025;CAROLINA;34;ExtraTrees
15/10/2025;CAROLINA;31;ExtraTrees
16/10/2025;CAROLINA;32;ExtraTrees
17/10/2025;CAROLINA;28;ExtraTrees
20/10/2025;CAROLINA;36;ExtraTrees
21/10/2025;CAROLINA;33;ExtraTrees
22/10/2025;CAROLINA;31;ExtraTrees
23/10/2025;CAROLINA;30;ExtraTrees
24/10/2025;CAROLINA;27;ExtraTrees
27/10/2025;CAROLINA;40;ExtraTrees
28/10/2025;CAROLINA;34;ExtraTrees
29/10/2025;CAROLINA;31;ExtraTrees
30/10/2025;CAROLINA;31;ExtraTrees
31/10/2025;CAROLINA;30;ExtraTrees
03/11/2025;CAROLINA;39;ExtraTrees
04/11/2025;CAROLINA;36;ExtraTrees
05/11/2025;CAROLINA;31;ExtraTrees
06/11/2025;CAROLINA;31;ExtraTrees
07/11/2025;CAROLINA;30;ExtraTrees
10/11/2025;CAROLINA;36;ExtraTrees
11/11/2025;CAROLINA;33;ExtraTrees
12/11/2025;CAROLINA;31;ExtraTrees
01/10/2025;CAXIAS;5;LightGBM
02/10/2025;CAXIAS;5;LightGBM
03/10/2025;CAXIAS;5;LightGBM
06/10/2025;CAXIAS;5;LightGBM
07/10/2025;CAXIAS;5;LightGBM
08/10/2025;CAXIAS;5;LightGBM
09/10/2025;CAXIAS;5;LightGBM
10/10/2025;CAXIAS;4;LightGBM
13/10/2025;CAXIAS;5;LightGBM
14/10/2025;CAXIAS;5;LightGBM
15/10/2025;CAXIAS;5;LightGBM
16/10/2025;CAXIAS;4;LightGBM
17/10/2025;CAXIAS;4;LightGBM
20/10/2025;CAXIAS;5;LightGBM
21/10/2025;CAXIAS;5;LightGBM
22/10/2025;CAXIAS;5;LightGBM
23/10/2025;CAXIAS;4;LightGBM
24/10/2025;CAXIAS;4;LightGBM
27/10/2025;CAXIAS;5;LightGBM
28/10/2025;CAXIAS;5;LightGBM
29/10/2025;CAXIAS;5;LightGBM
30/10/2025;CAXIAS;4;LightGBM
31/10/2025;CAXIAS;4;LightGBM
03/11/2025;CAXIAS;5;LightGBM
04/11/2025;CAXIAS;5;LightGBM
05/11/2025;CAXIAS;5;LightGBM
06/11/2025;CAXIAS;4;LightGBM
07/11/2025;CAXIAS;4;LightGBM
10/11/2025;CAXIAS;5;LightGBM
11/11/2025;CAXIAS;5;LightGBM
12/11/2025;CAXIAS;5;LightGBM
01/10/2025;CHAPADINHA;5;LightGBM
02/10/2025;CHAPADINHA;5;LightGBM
03/10/2025;CHAPADINHA;4;LightGBM
06/10/2025;CHAPADINHA;5;LightGBM
07/10/2025;CHAPADINHA;5;LightGBM
08/10/2025;CHAPADINHA;4;LightGBM
09/10/2025;CHAPADINHA;4;LightGBM
10/10/2025;CHAPADINHA;4;LightGBM
13/10/2025;CHAPADINHA;4;LightGBM
14/10/2025;CHAPADINHA;4;LightGBM
15/10/2025;CHAPADINHA;4;LightGBM
16/10/2025;CHAPADINHA;4;LightGBM
17/10/2025;CHAPADINHA;4;LightGBM
20/10/2025;CHAPADINHA;4;LightGBM
21/10/2025;CHAPADINHA;4;LightGBM
22/10/2025;CHAPADINHA;4;LightGBM
23/10/2025;CHAPADINHA;4;LightGBM
24/10/2025;CHAPADINHA;4;LightGBM
27/10/2025;CHAPADINHA;4;LightGBM
28/10/2025;CHAPADINHA;4;LightGBM
29/10/2025;CHAPADINHA;4;LightGBM
30/10/2025;CHAPADINHA;4;LightGBM
31/10/2025;CHAPADINHA;4;LightGBM
03/11/2025;CHAPADINHA;5;LightGBM
04/11/2025;CHAPADINHA;4;LightGBM
05/11/2025;CHAPADINHA;4;LightGBM
06/11/2025;CHAPADINHA;4;LightGBM
07/11/2025;CHAPADINHA;4;LightGBM
10/11/2025;CHAPADINHA;4;LightGBM
11/11/2025;CHAPADINHA;4;LightGBM
12/11/2025;CHAPADINHA;4;LightGBM
01/10/2025;CIDADE OPERARIA;176;RandomForest
02/10/2025;CIDADE OPERARIA;172;RandomForest
03/10/2025;CIDADE OPERARIA;169;RandomForest
06/10/2025;CIDADE OPERARIA;201;RandomForest
07/10/2025;CIDADE OPERARIA;181;RandomForest
08/10/2025;CIDADE OPERARIA;173;RandomForest
09/10/2025;CIDADE OPERARIA;169;RandomForest
10/10/2025;CIDADE OPERARIA;167;RandomForest
13/10/2025;CIDADE OPERARIA;196;RandomForest
14/10/2025;CIDADE OPERARIA;182;RandomForest
15/10/2025;CIDADE OPERARIA;171;RandomForest
